crop,temperature,humidity,rainfall,wind_speed,month,pest_name,severity
rice,26.521640952379784,84.0765969607922,160.10774828623062,22.70181444490114,6,Brown Plant Hopper,high
rice,27.585146359884057,94.50664092517245,207.84018118927162,6.166641580340386,12,Brown Plant Hopper,high
rice,31.594915970780026,83.3161467417076,224.41325213941582,20.18862129753596,5,Brown Plant Hopper,high
rice,29.72683769911516,80.55067657614875,211.13574709473667,5.399156305505355,2,Brown Plant Hopper,high
rice,29.79922587577037,89.41827204303284,154.01102589812297,21.56305710884955,2,Brown Plant Hopper,high
rice,30.030256571424694,82.77443610284124,276.6760025817929,16.243853334244143,10,Brown Plant Hopper,high
rice,35.42520666426731,82.2839548846083,178.81918795093057,14.71693224223705,2,Brown Plant Hopper,high
rice,29.79471393271222,92.02427275036774,193.49538783136973,12.40683764260206,1,Brown Plant Hopper,high
rice,21.405010522998904,81.76941707770187,155.2934989489885,24.75438851328014,11,Brown Plant Hopper,high
rice,23.927005180181045,82.644854702243,165.03198742182767,12.774558042891556,8,Brown Plant Hopper,high
rice,28.510912992286855,93.13872734662868,202.7702170085082,11.401708069033099,11,Brown Plant Hopper,high
rice,31.795744669127817,88.8119615718855,195.65836040911967,17.71426727911757,5,Brown Plant Hopper,high
rice,30.448710380971782,83.0211526550115,157.50451845985302,28.242441308564327,9,Brown Plant Hopper,high
rice,25.051428511133633,87.8863975064418,275.49833442980093,13.108625525131849,7,Brown Plant Hopper,high
rice,32.55680681148023,83.57571681104552,215.54676967926133,5.173803263279767,8,Brown Plant Hopper,high
rice,30.8630047381142,86.4078020413356,191.1932499467962,9.207276054323264,8,Brown Plant Hopper,high
rice,32.5452903703973,99.02560815154372,178.17348829730943,12.12101235943669,1,Brown Plant Hopper,high
rice,27.614782391854416,98.20700104697502,201.33986177809658,20.858783617534094,2,Brown Plant Hopper,high
rice,34.239415361022296,86.03420082177814,155.5186141967401,25.078493909497396,5,Brown Plant Hopper,high
rice,29.98656490767097,90.02867175962858,275.6798490813086,13.019501624293396,6,Brown Plant Hopper,high
rice,31.125215340806065,86.9773307060753,253.99162936480755,7.404413777285519,9,Brown Plant Hopper,high
rice,34.102435094014425,85.38494704900204,287.093735160756,26.933483834524527,3,Brown Plant Hopper,high
rice,23.864441060922932,100.0,299.8153307321296,9.717677708534485,9,Brown Plant Hopper,high
rice,28.796937470645126,96.37203611393824,168.7063487341579,9.040717852365344,6,Brown Plant Hopper,high
rice,27.990276672813824,100.0,291.12266652766914,17.140343839655664,3,Brown Plant Hopper,high
rice,29.331731776889058,81.56134117852923,202.74537774260241,23.662285127950604,8,Brown Plant Hopper,high
rice,35.13635442493076,87.5638743045237,200.7097983107874,29.32526386881114,3,Brown Plant Hopper,high
rice,32.288844981840256,92.66177819557898,243.80325307974044,17.312942345471598,5,Brown Plant Hopper,high
rice,32.86972877539523,95.27751989162566,156.4826491642551,11.989008544918965,6,Brown Plant Hopper,high
rice,29.08278441278349,79.93673516393237,298.69992694628917,29.09049942723132,1,Brown Plant Hopper,high
rice,23.854424469703567,83.57880514311488,216.08496365171655,26.105328518157783,3,Brown Plant Hopper,high
rice,27.457222459006683,82.11815603075337,275.8911093000402,23.51921544385511,1,Brown Plant Hopper,high
rice,27.265761391397756,91.26697590461386,216.25111512276135,7.039854510006009,7,Brown Plant Hopper,high
rice,27.143361308123932,99.95854756325176,274.3099134679357,27.25013354543916,7,Brown Plant Hopper,high
rice,22.155053573862507,99.4415669732223,199.9720687029078,11.2562840128966,10,Brown Plant Hopper,high
rice,33.50782034273923,87.39665288551164,260.1103090751451,10.39552568742108,5,Brown Plant Hopper,high
rice,28.789847991973623,89.54114589339859,254.39085923927345,15.838018439518551,10,Brown Plant Hopper,high
rice,24.812129241916413,78.19155763503889,184.30065666366764,8.91092606677715,2,Brown Plant Hopper,high
rice,27.76558462039315,92.06761655382783,256.8440074019196,6.19290319229122,10,Brown Plant Hopper,high
rice,27.63387594238532,96.48838049372607,224.99924463024547,7.445854016275037,5,Brown Plant Hopper,high
rice,29.22958140501934,84.22674514205292,240.17729227434754,14.36531536566178,10,Brown Plant Hopper,high
